case_id,year,region,ESR_1,ESR_2,ESR_3
base,2030,TX1,0,0,0
base,2030,TX2,0,0,0
base,2030,TX3,0,0,0
base,2045,TX1,0,0,0
base,2045,TX2,0,0,0
base,2045,TX3,0,0,0
