data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2024,2023,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,34100.0,,2022
2024,2023,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.15,,2022
2024,2023,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1227573.3264443,,2022
2024,2023,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,26000.0,,2022
2024,2023,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2023,30,Moderate,Market,UtilityPV,Class1,capex_mw,1486198.74638836,,2022
2024,2023,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,22218.8024537407,,2022
2024,2023,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1375893.95984093,,2022
2024,2023,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,34100.0,,2022
2024,2023,55,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.15,,2022
2024,2023,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1227573.3264443,,2022
2024,2023,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,26000.0,,2022
2024,2023,55,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2024,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,346861.2149,,2022
2024,2024,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,355753.8565,,2022
2024,2024,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,8671.530373,,2022
2024,2024,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,8893.846413,,2022
2024,2024,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2024,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1570098.84535174,,2022
2024,2024,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,31648.2287371996,,2022
2024,2024,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1363858.92722873,,2022
2024,2024,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33800.0,,2022
2024,2024,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.14,,2022
2024,2024,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1217767.0035751,,2022
2024,2024,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25800.0,,2022
2024,2024,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2024,20,Moderate,Market,UtilityPV,Class1,capex_mw,1428327.04067393,,2022
2024,2024,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,21608.8888166182,,2022
2024,2024,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1570098.84535174,,2022
2024,2024,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,31648.2287371996,,2022
2024,2024,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1363858.92722873,,2022
2024,2024,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,33800.0,,2022
2024,2024,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.14,,2022
2024,2024,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1217767.0035751,,2022
2024,2024,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,25800.0,,2022
2024,2024,30,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2024,30,Moderate,Market,UtilityPV,Class1,capex_mw,1428327.04067393,,2022
2024,2024,30,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,21608.8888166182,,2022
