region,year,weather_year,time_index,load_mw
p10,2030,2012,174,15668.0
p10,2030,2012,175,15409.0
p10,2030,2012,176,15478.0
p10,2030,2012,177,15809.0
p10,2030,2012,178,16455.0
p10,2030,2012,179,16781.0
p10,2030,2012,180,17540.0
p10,2030,2012,181,17965.0
p10,2030,2012,182,18092.0
p10,2030,2012,183,17833.0
p10,2030,2012,184,17429.0
p10,2030,2012,185,17099.0
p10,2030,2012,186,16673.0
p10,2030,2012,187,16639.0
p10,2030,2012,188,17138.0
p10,2030,2012,189,19102.0
p10,2030,2012,190,19602.0
p10,2030,2012,191,19440.0
p10,2030,2012,192,18967.0
p10,2030,2012,193,18364.0
p10,2030,2012,194,17333.0
p10,2030,2012,195,16589.0
p10,2030,2012,196,16774.0
p10,2030,2012,197,16714.0
p10,2030,2012,198,16496.0
p10,2030,2012,199,16260.0
p10,2030,2012,200,16777.0
p10,2030,2012,201,18011.0
p10,2030,2012,202,20008.0
p10,2030,2012,203,20912.0
p10,2030,2012,204,21276.0
p10,2030,2012,205,21378.0
p10,2030,2012,206,21531.0
p10,2030,2012,207,21191.0
p10,2030,2012,208,20555.0
p10,2030,2012,209,20181.0
p10,2030,2012,210,19877.0
p10,2030,2012,211,19571.0
p10,2030,2012,212,19873.0
p10,2030,2012,213,21560.0
p10,2030,2012,214,21962.0
p10,2030,2012,215,21719.0
p10,2030,2012,216,21119.0
p10,2030,2012,217,20193.0
p10,2030,2012,218,18968.0
p10,2030,2012,219,17837.0
p10,2030,2012,220,17146.0
p10,2030,2012,221,16920.0
p10,2030,2012,222,16737.0
p10,2030,2012,223,16510.0
p10,2030,2012,224,17035.0
p10,2030,2012,225,18292.0
p10,2030,2012,226,20193.0
p10,2030,2012,227,21290.0
p10,2030,2012,228,21324.0
p10,2030,2012,229,21263.0
p10,2030,2012,230,21330.0
p10,2030,2012,231,21047.0
p10,2030,2012,232,20337.0
p10,2030,2012,233,19834.0
p10,2030,2012,234,19476.0
p10,2030,2012,235,19321.0
p10,2030,2012,236,19517.0
p10,2030,2012,237,21206.0
p10,2030,2012,238,21704.0
p10,2030,2012,239,21457.0
p10,2030,2012,240,20906.0
p10,2045,2012,1,29656.0
p10,2045,2012,2,28913.0
p10,2045,2012,3,27811.0
p10,2045,2012,4,27250.0
p10,2045,2012,5,27156.0
p10,2045,2012,6,26249.0
p10,2045,2012,7,25075.0
p10,2045,2012,8,25167.0
p10,2045,2012,9,25442.0
p10,2045,2012,10,25608.0
p10,2045,2012,11,25619.0
p10,2045,2012,12,27111.0
p10,2045,2012,13,28336.0
p10,2045,2012,14,28973.0
p10,2045,2012,15,28420.0
p10,2045,2012,16,27540.0
p10,2045,2012,17,27146.0
p10,2045,2012,18,26487.0
p10,2045,2012,19,26314.0
p10,2045,2012,20,26970.0
p10,2045,2012,21,29296.0
p10,2045,2012,22,29802.0
p10,2045,2012,23,29649.0
p10,2045,2012,24,29055.0
p10,2045,2012,25,28376.0
p10,2045,2012,26,27364.0
p10,2045,2012,27,26585.0
p10,2045,2012,28,28787.0
p10,2045,2012,29,29494.0
p10,2045,2012,30,28740.0
p10,2045,2012,31,26793.0
p10,2045,2012,32,27230.0
p10,2045,2012,33,28070.0
p10,2045,2012,34,28541.0
p10,2045,2012,35,28832.0
p10,2045,2012,36,29851.0
p10,2045,2012,37,31169.0
p10,2045,2012,38,32805.0
p10,2045,2012,39,33059.0
p10,2045,2012,40,32084.0
p10,2045,2012,41,31266.0
p10,2045,2012,42,30900.0
p10,2045,2012,43,30882.0
p10,2045,2012,44,31550.0
p10,2045,2012,45,33603.0
p10,2045,2012,46,34634.0
p10,2045,2012,47,34521.0
p10,2045,2012,48,33631.0
p10,2045,2012,49,32384.0
p10,2045,2012,50,30680.0
p10,2045,2012,51,29023.0
p10,2045,2012,52,27807.0
p10,2045,2012,53,28206.0
p10,2045,2012,54,27532.0
p10,2045,2012,55,26071.0
p10,2045,2012,56,26614.0
p10,2045,2012,57,27944.0
p10,2045,2012,58,29211.0
p10,2045,2012,59,29732.0
p10,2045,2012,60,30302.0
p10,2045,2012,61,31421.0
p10,2045,2012,62,32651.0
p10,2045,2012,63,32824.0
p10,2045,2012,64,31938.0
p10,2045,2012,65,31558.0
p10,2045,2012,66,31043.0
p10,2045,2012,67,30687.0
p10,2045,2012,68,31088.0
p10,2045,2012,69,32930.0
p10,2045,2012,70,33859.0
p10,2045,2012,71,33733.0
p10,2045,2012,72,32889.0
p10,2045,2012,73,31727.0
p10,2045,2012,74,30228.0
p10,2045,2012,75,28682.0
p10,2045,2012,76,28293.0
p10,2045,2012,77,28780.0
p10,2045,2012,78,28107.0
p10,2045,2012,79,26600.0
p10,2045,2012,80,27117.0
p10,2045,2012,81,28270.0
p10,2045,2012,82,29789.0
p10,2045,2012,83,30094.0
p10,2045,2012,84,30495.0
p10,2045,2012,85,31650.0
p10,2045,2012,86,32785.0
p10,2045,2012,87,32796.0
p10,2045,2012,88,31809.0
p10,2045,2012,89,31416.0
p10,2045,2012,90,30889.0
p10,2045,2012,91,30785.0
p10,2045,2012,92,31170.0
p10,2045,2012,93,32946.0
p10,2045,2012,94,33781.0
p10,2045,2012,95,33590.0
p10,2045,2012,96,32740.0
p10,2045,2012,97,31411.0
p10,2045,2012,98,29824.0
p10,2045,2012,99,28305.0
p10,2045,2012,100,27905.0
p10,2045,2012,101,28277.0
p10,2045,2012,102,27598.0
p10,2045,2012,103,26007.0
p10,2045,2012,104,26521.0
p10,2045,2012,105,27563.0
p10,2045,2012,106,29220.0
p10,2045,2012,107,29585.0
p10,2045,2012,108,30136.0
p10,2045,2012,109,31248.0
p10,2045,2012,110,32474.0
p10,2045,2012,111,32552.0
p10,2045,2012,112,31794.0
p10,2045,2012,113,31359.0
p10,2045,2012,114,30872.0
p10,2045,2012,115,30725.0
p10,2045,2012,116,30976.0
p10,2045,2012,117,32740.0
p10,2045,2012,118,33631.0
p10,2045,2012,119,33420.0
p10,2045,2012,120,32545.0
p10,2045,2012,121,31394.0
p10,2045,2012,122,29950.0
p10,2045,2012,123,28550.0
p10,2045,2012,124,29162.0
p10,2045,2012,125,29870.0
p10,2045,2012,126,29096.0
p10,2045,2012,127,27203.0
p10,2045,2012,128,27838.0
p10,2045,2012,129,28844.0
p10,2045,2012,130,30547.0
p10,2045,2012,131,30913.0
p10,2045,2012,132,31721.0
p10,2045,2012,133,33042.0
p10,2045,2012,134,34363.0
p10,2045,2012,135,34390.0
p10,2045,2012,136,33355.0
p10,2045,2012,137,32682.0
p10,2045,2012,138,32099.0
p10,2045,2012,139,31872.0
p10,2045,2012,140,32252.0
p10,2045,2012,141,34068.0
p10,2045,2012,142,34876.0
p10,2045,2012,143,34563.0
p10,2045,2012,144,33787.0
