technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Solar Photovoltaic,64429,19001,2.6,,2.6,2.6,2023,2053,0.212,0.0,0.0,7714.0
Batteries,66409,GWNT,135.0,391.5,135.0,135.0,2026,2041,0.85,0.0,0.0,12544.0
Solar Photovoltaic,64438,VALLE,1.4,,1.4,1.4,2021,2051,0.28,0.0,0.0,7714.0
Solar Photovoltaic,64441,266,3.0,,3.0,3.0,2021,2051,0.31,0.0,0.0,7714.0
Solar Photovoltaic,64471,BYHWY,5.0,,5.0,5.0,2022,2052,0.279,0.0,0.0,7714.0
Solar Photovoltaic,64481,AEC1,100.0,,100.0,100.0,2022,2052,0.334,0.0,0.0,9730.0
Solar Photovoltaic,64481,AEC2,133.0,,133.0,133.0,2023,2053,0.212,0.0,0.0,9730.0
Batteries,64481,AEC2B,132.0,528.0,132.0,132.0,2022,2052,0.0,0.0,0.0,17250.0
Solar Photovoltaic,64489,GEN1,90.0,,90.0,90.0,2023,2053,0.212,0.0,0.0,9730.0
Batteries,60641,HDES1,10.0,40.0,10.0,10.0,2021,2036,0.0,0.0,0.0,12544.0
Solar Photovoltaic,64517,DOJ,2.4,,2.4,2.4,2020,2050,0.178,0.0,0.0,7714.0
