technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Solar Photovoltaic,62674,ANX3B,5.0,,5.0,5.0,2021,2051,0.284,0.0,0.0,7714.0
Solar Photovoltaic,62687,RPNPA,1.0,,1.0,1.0,2019,2049,0.255,0.0,0.0,7714.0
Solar Photovoltaic,62687,RPNPB,1.0,,1.0,1.0,2019,2049,0.255,0.0,0.0,7714.0
Solar Photovoltaic,62687,RPNPC,1.0,,1.0,1.0,2019,2049,0.255,0.0,0.0,7714.0
Solar Photovoltaic,62688,MFARM,3.1,,3.1,2.0,2017,2047,0.249,0.0,0.0,7714.0
Solar Photovoltaic,62689,HFARM,2.2,,2.2,1.5,2017,2047,0.238,0.0,0.0,7714.0
Solar Photovoltaic,62690,GFARM,1.7,,1.7,1.1,2018,2048,0.203,0.0,0.0,7714.0
Batteries,389,BESS,30.0,20.0,30.0,30.0,2016,2031,0.0,0.0,0.0,12544.0
Batteries,62964,EL50M,50.0,50.0,50.0,50.0,2023,2038,0.85,0.0,0.0,12544.0
Batteries,66661,HEN,99.4,288.26,99.4,99.4,2024,2039,0.85,0.0,0.0,12544.0
Batteries,66787,ELVPS,70.0,203.0,70.0,70.0,2026,2041,0.85,0.0,0.0,12544.0
Batteries,66263,2222,300.0,1200.0,300.0,300.0,2024,2039,0.85,0.0,0.0,12544.0
Batteries,62564,ELKHO,182.5,730.0,182.5,182.5,2022,2037,0.0,0.0,0.0,12544.0
Batteries,66278,1,10.0,10.0,10.0,10.0,2024,2039,0.85,0.0,0.0,12544.0
Solar Photovoltaic,62732,SSPAI,1.3,,1.3,1.3,2019,2049,0.184,0.0,0.0,7714.0
Batteries,66505,CV150,3.0,6.0,3.0,3.0,2024,2039,0.85,0.0,0.0,12544.0
Batteries,66505,CV151,3.0,6.0,3.0,3.0,2024,2039,0.85,0.0,0.0,12544.0
