cpa_id,region,capacity_mw,cf,lcoe,interconnect_annuity,interconnect_capex_mw,resource_annuity,resource_fom
p60_wind_g01,p60,3654.0449581,0.5109700184823576,23.48389037720563,6124.463438014938,128682.7671875495,59972.574,38950.0
p60_wind_g02,p60,3796.5037250000005,0.48769708829767955,24.658412044292536,6418.19818024208,134854.51001066074,59972.573999999986,38949.99999999999
p60_wind_g03,p60,3747.599985,0.4713784957365734,25.69867725308131,7180.513335010549,150871.72274319432,59972.574,38950.0
p60_wind_g04,p60,3708.990009000001,0.45782999441093264,26.75540612672371,8385.852886252394,176197.43918945407,59972.57399999999,38949.999999999985
p60_wind_g05,p60,3753.674974,0.45685832899372364,27.48916939061415,11092.55104671993,233068.6129384741,59972.57399999999,38950.0
p60_wind_g06,p60,3823.0649869999997,0.45313138535562336,27.97170842859664,12099.335292968013,254222.4311993917,59972.57400000001,38950.0
p60_wind_g07,p60,3744.8324995000003,0.4466690263969402,28.48341983692378,12524.461622313394,263154.8749461431,59972.574,38950.0
p60_wind_g08,p60,3727.89001,0.44350153395177194,29.037049262567486,13878.07429629981,291596.00258853263,59972.574,38950.00000000001
p60_wind_g09,p60,3758.3662589999994,0.42849488864467866,29.948740301853064,13198.542855412266,277318.1846704012,60266.41082308682,38950.00000000001
p60_wind_g10,p60,3770.9549690000003,0.3829328396915317,32.54277870735892,9579.247633063977,201272.18325272822,60143.28015504005,38949.99999999999
p61_wind_g01,p61,10008.089950000001,0.524021681544514,23.20828992887409,7584.228413773801,159354.28900332053,59972.57400000001,38949.99999999999
p61_wind_g02,p61,10115.5837034,0.5144181899828957,24.175741646003086,10024.245407629369,210622.149573023,59972.574,38950.00000000001
p61_wind_g03,p61,10121.287470999998,0.5037495004862116,25.002604981269215,11404.92508371364,239631.98421207452,59972.574000000015,38950.00000000001
p61_wind_g04,p61,10027.19245,0.49349767762383706,25.757789362609614,12419.239295817351,260944.01704519693,59972.57399999999,38950.0
p61_wind_g05,p61,10148.523747299998,0.4837016474448564,26.479816943180698,13270.332572226454,278826.5725548444,59972.57400000002,38950.00000000001
p61_wind_g06,p61,10047.6787973,0.47212279525817896,27.238356449139587,13725.367574943486,288387.43675220973,59972.574,38950.00000000001
p61_wind_g07,p61,10135.3612237,0.45736452954146445,28.141255190695823,13816.558998279068,290303.48417686403,59972.574000000015,38950.0
p61_wind_g08,p61,10010.3174891,0.4339651152967409,29.58693153670835,13526.437964285376,284207.6700975209,59972.574,38950.0
p61_wind_g09,p61,10168.841206599998,0.40252398801376693,31.806260206322463,13086.482263121809,274963.64019516495,59972.574,38950.00000000001
p61_wind_g10,p61,10090.473706099998,0.29768798251276013,48.77318909918024,24986.787602607,525004.1958592121,59972.574000000015,38950.00000000001
p62_wind_g01,p62,10253.452473000001,0.5013373764893411,24.75259014124925,9667.878861451483,203134.43459229876,59972.573999999986,38950.0
p62_wind_g02,p62,10285.9536665,0.46841247125033303,26.0089724004884,7792.960687610909,163740.01938065703,59972.57399999999,38950.0
p62_wind_g03,p62,10317.914976,0.4570059302533842,27.180395231157366,9776.715025170044,205421.22144449924,60064.632553904485,38950.0
p62_wind_g04,p62,10274.849986,0.44333858639418805,28.553569769491244,11792.62763487376,247778.11004556605,60134.22175746271,38950.0
p62_wind_g05,p62,10341.7761916,0.42239331851860007,30.40089202392753,13209.543870654652,277549.32011403225,60269.68615176606,38950.00000000001
p62_wind_g06,p62,10277.010045,0.39848698853987335,32.548751721476506,14459.265177694086,303807.96991223545,60182.627374347365,38950.0
p62_wind_g07,p62,10249.706254,0.3759472060749139,34.840597666714515,15643.01994193446,328680.16708162084,60115.321105511066,38950.0
p62_wind_g08,p62,10307.654945,0.3519634037148907,37.61053502814988,16904.64452129245,355188.3713833325,60043.68507635482,38950.0
p62_wind_g09,p62,10312.784952000002,0.32432255093614354,40.77411800491353,16800.209119057312,352994.0110732401,60047.145230304435,38950.0
p62_wind_g10,p62,10342.417489,0.29412464612940314,46.78566636606136,21026.82294858419,441800.39657056937,59984.247696437844,38950.0
p63_wind_g01,p63,5362.7062678,0.49959348321544134,24.630193886046523,8843.797827005788,185819.4439882926,59972.574,38950.0
p63_wind_g02,p63,5409.9900305,0.4860298889085383,25.96226155604265,11600.35319151993,243738.17878470835,59974.74223026176,38950.0
p63_wind_g03,p63,5405.1637558,0.4797961468395771,26.75309899458846,13497.562117945694,283600.95145788055,59991.205671444164,38950.0
p63_wind_g04,p63,5404.8600157,0.46700464465556446,27.388833392795995,13120.30634973426,275674.32713920966,59973.70325566662,38950.0
