region_from,region_to,firm_ttc_mw,notes
p60,p61,4339.436,
p60,p62,3669.9585,
p60,p63,7963.2205,
p61,p62,1352.3829999999998,
p61,p63,4595.433,
p61,p64,3458.2455,
p61,p65,185.907,
p63,p64,9420.5425,
p64,p65,5580.386,
p64,p67,4729.9575,
p65,p67,4328.3445,
