site_id,time_index,value,weather_year
11676,1,0.303839,2012
11676,2,0.2804,2012
11676,3,0.231976,2012
11676,4,0.211744,2012
11676,5,0.150686,2012
11676,6,0.217419,2012
11676,7,0.246863,2012
11676,8,0.258338,2012
11676,9,0.294241,2012
11676,10,0.246381,2012
11676,11,0.178601,2012
11676,12,0.171305,2012
11676,13,0.163651,2012
11676,14,0.128376,2012
11676,15,0.134023,2012
11676,16,0.165741,2012
11676,17,0.154832,2012
11676,18,0.166885,2012
11676,19,0.188488,2012
11676,20,0.219916,2012
11676,21,0.274333,2012
11676,22,0.320828,2012
11676,23,0.400367,2012
11676,24,0.397435,2012
11676,25,0.399705,2012
11676,26,0.452411,2012
11676,27,0.442259,2012
11676,28,0.417794,2012
11676,29,0.409925,2012
11676,30,0.413367,2012
11676,31,0.371947,2012
11676,32,0.37311,2012
11676,33,0.396501,2012
11676,34,0.30053,2012
11676,35,0.196435,2012
11676,36,0.19973,2012
11676,37,0.158943,2012
11676,38,0.183285,2012
11676,39,0.239602,2012
11676,40,0.231246,2012
11676,41,0.22589,2012
11676,42,0.236627,2012
11676,43,0.261641,2012
11676,44,0.284358,2012
11676,45,0.283623,2012
11676,46,0.324846,2012
11676,47,0.274006,2012
11676,48,0.310175,2012
11676,49,0.331903,2012
11676,50,0.405568,2012
11676,51,0.422096,2012
11676,52,0.446639,2012
11676,53,0.396254,2012
11676,54,0.391974,2012
11676,55,0.407356,2012
11676,56,0.422931,2012
11676,57,0.395312,2012
11676,58,0.412518,2012
11676,59,0.409236,2012
11676,60,0.354046,2012
11676,61,0.261817,2012
11676,62,0.214929,2012
11676,63,0.204734,2012
11676,64,0.2037,2012
11676,65,0.199583,2012
11676,66,0.19863,2012
11676,67,0.230698,2012
11676,68,0.234398,2012
11676,69,0.186316,2012
11676,70,0.191785,2012
11676,71,0.248442,2012
11676,72,0.228874,2012
11676,73,0.270517,2012
11676,74,0.308091,2012
11676,75,0.313442,2012
11676,76,0.334312,2012
11676,77,0.284125,2012
11676,78,0.277527,2012
11676,79,0.332228,2012
11676,80,0.307847,2012
11676,81,0.240012,2012
11676,82,0.271956,2012
11676,83,0.200681,2012
11676,84,0.230439,2012
11676,85,0.211599,2012
11676,86,0.210246,2012
11676,87,0.20695,2012
11676,88,0.202702,2012
11676,89,0.230128,2012
11676,90,0.239429,2012
11676,91,0.236114,2012
11676,92,0.258908,2012
11676,93,0.227119,2012
11676,94,0.242937,2012
11676,95,0.191866,2012
11676,96,0.205895,2012
11676,97,0.250345,2012
11676,98,0.290545,2012
11676,99,0.28946,2012
11676,100,0.155198,2012
11676,101,0.128649,2012
11676,102,0.184923,2012
11676,103,0.146852,2012
11676,104,0.16052,2012
11676,105,0.121141,2012
11676,106,0.168599,2012
11676,107,0.081816,2012
11676,108,0.057916,2012
11676,109,0.041799,2012
11676,110,0.050855,2012
11676,111,0.048385,2012
11676,112,0.050589,2012
11676,113,0.0,2012
11676,114,0.04504,2012
11676,115,0.053106,2012
11676,116,0.038387,2012
11676,117,0.086736,2012
11676,118,0.053613,2012
11676,119,0.070765,2012
11676,120,0.117618,2012
11676,121,0.158941,2012
11676,122,0.176399,2012
11676,123,0.17533,2012
11676,124,0.125464,2012
11676,125,0.139514,2012
11676,126,0.073849,2012
11676,127,0.117561,2012
11676,128,0.146977,2012
11676,129,0.136198,2012
11676,130,0.05425,2012
11676,131,0.069964,2012
11676,132,0.082199,2012
11676,133,0.04493,2012
11676,134,0.030901,2012
11676,135,0.032524,2012
11676,136,0.048087,2012
11676,137,0.039792,2012
11676,138,0.021006,2012
11676,139,0.008703,2012
11676,140,0.0,2012
11676,141,0.034753,2012
11676,142,0.103704,2012
11676,143,0.031949,2012
11676,144,0.017257,2012
11676,145,0.086299,2012
11676,146,0.155511,2012
11676,147,0.255632,2012
11676,148,0.319063,2012
11676,149,0.337522,2012
11676,150,0.34188,2012
11676,151,0.388123,2012
11676,152,0.382877,2012
11676,153,0.29076,2012
11676,154,0.271088,2012
11676,155,0.186523,2012
11676,156,0.193392,2012
11676,157,0.184866,2012
11676,158,0.167017,2012
11676,159,0.164566,2012
11676,160,0.119673,2012
11676,161,0.108605,2012
11676,162,0.098157,2012
11676,163,0.107799,2012
11676,164,0.110753,2012
11676,165,0.126941,2012
11676,166,0.146668,2012
11676,167,0.102795,2012
11676,168,0.057016,2012
11676,169,0.109625,2012
11676,170,0.07286,2012
11676,171,0.064972,2012
11676,172,0.1026,2012
11676,173,0.08377,2012
11676,174,0.183221,2012
11676,175,0.131383,2012
11676,176,0.095825,2012
11676,177,0.009036,2012
11676,178,0.036309,2012
11676,179,0.019281,2012
11676,180,0.034196,2012
11676,181,0.043898,2012
11676,182,0.101868,2012
11676,183,0.109345,2012
11676,184,0.096479,2012
11676,185,0.086106,2012
11676,186,0.110174,2012
11676,187,0.06506,2012
11676,188,0.0551,2012
11676,189,0.009907,2012
11676,190,0.0,2012
11676,191,0.017578,2012
11676,192,0.0,2012
11676,193,0.0,2012
11676,194,0.0,2012
11676,195,0.0,2012
11676,196,0.0,2012
11676,197,0.0,2012
11676,198,0.0,2012
11676,199,0.0,2012
11676,200,0.0,2012
11676,201,0.0,2012
11676,202,0.0,2012
11676,203,0.0,2012
11676,204,0.0,2012
11676,205,0.015231,2012
11676,206,0.030774,2012
11676,207,0.050414,2012
11676,208,0.031832,2012
11676,209,0.036693,2012
11676,210,0.041577,2012
11676,211,0.064321,2012
11676,212,0.103755,2012
11676,213,0.14749,2012
11676,214,0.184544,2012
11676,215,0.178754,2012
11676,216,0.171077,2012
11676,217,0.203719,2012
11676,218,0.156371,2012
11676,219,0.142879,2012
11676,220,0.137883,2012
11676,221,0.158201,2012
11676,222,0.180526,2012
11676,223,0.118494,2012
11676,224,0.138981,2012
11676,225,0.05271,2012
11676,226,0.024706,2012
11676,227,0.051284,2012
11676,228,0.036934,2012
11676,229,0.044373,2012
11676,230,0.104148,2012
11676,231,0.093014,2012
11676,232,0.086161,2012
11676,233,0.0365,2012
11676,234,0.046046,2012
11676,235,0.087976,2012
11676,236,0.101654,2012
11676,237,0.113837,2012
11676,238,0.233701,2012
11676,239,0.260297,2012
11676,240,0.286184,2012
42434,1,0.13391,2012
42434,2,0.100915,2012
42434,3,0.150101,2012
42434,4,0.225508,2012
42434,5,0.287174,2012
42434,6,0.329226,2012
42434,7,0.29043,2012
42434,8,0.261722,2012
42434,9,0.360518,2012
42434,10,0.294196,2012
42434,11,0.228561,2012
42434,12,0.211953,2012
42434,13,0.157216,2012
42434,14,0.118679,2012
42434,15,0.081361,2012
42434,16,0.056345,2012
42434,17,0.056569,2012
42434,18,0.082754,2012
42434,19,0.098019,2012
42434,20,0.136312,2012
42434,21,0.1427,2012
42434,22,0.065289,2012
42434,23,0.047405,2012
42434,24,0.0,2012
42434,25,0.003366,2012
42434,26,0.034441,2012
42434,27,0.014549,2012
42434,28,0.015168,2012
42434,29,0.051076,2012
42434,30,0.1124,2012
42434,31,0.080971,2012
42434,32,0.122382,2012
42434,33,0.099979,2012
42434,34,0.129379,2012
42434,35,0.034888,2012
42434,36,0.023697,2012
42434,37,0.035345,2012
42434,38,0.005535,2012
42434,39,0.0,2012
42434,40,0.0,2012
42434,41,0.0,2012
42434,42,0.0,2012
42434,43,0.0,2012
42434,44,0.0,2012
42434,45,0.0,2012
42434,46,0.0,2012
42434,47,0.0,2012
42434,48,0.0,2012
42434,49,0.0,2012
42434,50,0.0,2012
42434,51,0.0,2012
42434,52,0.0,2012
42434,53,0.0,2012
42434,54,0.0,2012
42434,55,0.0,2012
42434,56,0.0,2012
42434,57,0.0,2012
42434,58,0.0,2012
42434,59,0.003502,2012
42434,60,0.009628,2012
42434,61,0.0,2012
42434,62,0.0,2012
42434,63,0.0,2012
42434,64,0.0,2012
42434,65,0.0,2012
42434,66,0.0,2012
42434,67,0.0,2012
42434,68,0.0,2012
42434,69,0.0,2012
42434,70,0.0,2012
42434,71,0.0,2012
42434,72,0.0,2012
42434,73,0.0,2012
42434,74,0.0,2012
42434,75,0.0,2012
42434,76,0.0,2012
42434,77,0.0,2012
42434,78,0.0,2012
42434,79,0.0,2012
42434,80,0.0,2012
42434,81,0.0,2012
42434,82,0.0,2012
42434,83,0.0,2012
42434,84,0.0,2012
42434,85,0.0,2012
42434,86,0.0,2012
42434,87,0.0,2012
42434,88,0.0,2012
42434,89,0.0,2012
42434,90,0.00914,2012
42434,91,0.000669,2012
42434,92,0.0,2012
42434,93,0.0,2012
42434,94,0.06675,2012
42434,95,0.032068,2012
42434,96,0.072879,2012
42434,97,0.150997,2012
42434,98,0.190675,2012
42434,99,0.199583,2012
42434,100,0.313083,2012
42434,101,0.322622,2012
42434,102,0.36207,2012
42434,103,0.366175,2012
42434,104,0.376017,2012
42434,105,0.337632,2012
42434,106,0.29032,2012
42434,107,0.31007,2012
42434,108,0.288556,2012
42434,109,0.282863,2012
42434,110,0.240234,2012
42434,111,0.253631,2012
42434,112,0.280639,2012
42434,113,0.293245,2012
42434,114,0.278782,2012
42434,115,0.323953,2012
42434,116,0.317617,2012
42434,117,0.372647,2012
42434,118,0.441564,2012
42434,119,0.445136,2012
42434,120,0.460431,2012
42434,121,0.438828,2012
42434,122,0.427142,2012
42434,123,0.379091,2012
42434,124,0.307541,2012
42434,125,0.226401,2012
42434,126,0.260769,2012
42434,127,0.266127,2012
42434,128,0.305332,2012
42434,129,0.276636,2012
42434,130,0.309009,2012
42434,131,0.24494,2012
42434,132,0.224341,2012
42434,133,0.201551,2012
42434,134,0.161001,2012
42434,135,0.134491,2012
42434,136,0.104072,2012
42434,137,0.110258,2012
42434,138,0.100287,2012
42434,139,0.123121,2012
42434,140,0.148858,2012
42434,141,0.161873,2012
42434,142,0.155954,2012
42434,143,0.161784,2012
42434,144,0.214672,2012
42434,145,0.243565,2012
42434,146,0.24321,2012
42434,147,0.242895,2012
42434,148,0.341586,2012
42434,149,0.327313,2012
42434,150,0.314526,2012
